Employment - Title,Job Description,Employment - Type,Major,Skills / Qualifications
Junior Associate,"Responsibilities:   Mu Sigma you’ll   hear   phrase “Learning   Knowing.” It’s       guiding principles,     such,   expect   Mu Sigman   demonstrate passion   learning.   work   throw   variety   concepts   you, ranging     chemical backings   pharmaceutical drugs     vast global supply chains   leading retailers.     firms improve   decision making,       that,                 themselves.   aren’t     analytics firm; we’re   Decision Sciences firm.   succeed   Mu Sigma,     bring     table: ?   quantitative mindset:   don’t         Statistics major,                 work   numbers. ?   critical eye:         asks questions,   probing   “Why?”   “So what?”     contrarian thinking. ? Interpersonal skills:   work involves consulting   client interaction. Clients         respect you,           they’re wrong.   you’ll do: ? Engage clients   understand   business challenges       solve them. ? Work     global delivery team   spans client locations     India center, solving datai ntensive problems     analytical frameworks   tools     provide you. ?           work   senior management, offering insightful recommendations   lead   tangible business impact. ? Build relationships   clients, helping   improve       analytics   drive   business operations forward.   you’ll gain     experience: ?   strong foundation   analytics. You’ll learn       analytically,       quantify   solve   variety   business problems thrown   you. ? Meaningful experience. You’ll work   issues   relevant         senior clients,     you’ll frequently engage. You’ll       work translate   actions. ?   head-start. Big Data analytics     exploding industry. We’re     forefront.   Training Investment   You:   Mu Sigma experience     Mu Sigma University (MSU) –   intensive training program     Bangalore, India facility   prepares       successful career     Decision Scientist.   MSU, you’ll participate     curriculum   draws   disciplines   Math, Business, Technology, Design-Thinking,   Behavioral Science –   multi-disciplinary skills       Mu Sigman.     initial training,       assigned         client location   US.",Career Employment – Graduating Students & Alumni,"Health   Management   Systems,   Systems,   Science   Engineering, Electrical     Engineering, Engineering Physics, Mathematics,       Science",BBA / BA / BS (we hire     disciplines):   2015     2016
Analyst/Data Scientist Intern,"Company Overview: 84.51 helps companies create sustainable growth   putting   customer     center   everything.     sophisticated suite   tools   technology,   turn data   knowledge           world's leading CPG manufacturers   partners develop, nurture   embrace deeper relationships     customer. Intern Program Overview:       early   start seeking extraordinary talent,         aim         internship program.   program isnt   learning         coffee order,       hands-on work     company   learning     culture. Working closely     manager,     spend 10 weeks     summer completing   project       impact         business. Position Overview:   position involves extracting             databases   turning     actionable analysis.     identify essential data       templates, procedures   statistical software   develop   methodologies and/or insights based     data.   methodologies and/or insights             drive   execution   pricing, promotions, innovation, local marketing, service,   loyalty.     areas   analysis are: Analysis,     Data Science. Locations: Cincinnati,   (USA) Start Date:   2016",Internship,"Economics - Business, Finance,   Systems,   Science   Engineering, Electrical     Engineering, Engineering Physics,   Science   Engineering, Electrical     Engineering, Actuarial Science, Data Analytics, Communication, Economics, Mathematics,       Science, Statistics, Mathematical Sciences - MMS, Communication, Economics, Mathematics - MS & PhD","Education, Experience,   Preferred Skills: - Working   Bachelors degree (Masters degree desired)     Science, Artificial Intelligence, Machine Learning, Operations Research, Applied Economics, Applied Statistics, Engineering, Finance, Applied Mathematics, Market Research, Business Analytics,   Systems     heavily quantitative program. Technical Skills: (desired       requirement) - Experience     programming language   statistical software: SQL, SAS, Excel / VBA, R, C/C++, Java     - Statistical models (logistic regression, clustering etc.) - Data analysis   modeling - Data interpretation - Machine learning   data mining - Strong business acumen - Statistical measurement"
Developer Entry Level,"Company Overview: 84.51 helps companies create sustainable growth   putting   customer     center   everything.     sophisticated suite   tools   technology,   turn data   knowledge           world's leading CPG manufacturers   partners develop, nurture   embrace deeper relationships     customer. University Leadership Program Overview: Development     talent         us.   programs   created   support   develop   candidates     demonstrated       leaders     making.       senior leaders     business today started           University Leadership Programs.     program,     start     5 weeks     intensive jump start training   develop   understanding   84.51s ways   working,         tools   capabilities, knowledge     CPG   Retail industry   technical training     programs       customize   work     clients. Position Overview: Data Developer:   position involves creating robust   scalable data solutions   underpin   core capabilities.       areas   data   Data Consulting   Data Development. Technical skills desired: - Experience   database programming   statistical software     Oracle, SAS, R, Python, Hadoop, Continuous Delivery   Integration, Data Warehouse Development Lifecycle, ETL - Experience translating market   analysis   business solutions   communicating     key stakeholders highly desired. Application Developer:   position involves creating robust   scalable software solutions   underpin   core capabilities.     areas   product development   Design & Engineering, Development & Testing Technical skills desired: - Experience     latest software development languages (Java, C, C++, C#, PHP, HTML5, jQuery, Go, SQL, JavaScript, Ruby, etc.) - Experience   concepts   frameworks     Docker, Containers, IaaS, PaaS, iOS, Android, Microservices, SaaS, SpecFlow, Meteor, OOD Locations: Cincinnati,   (USA) Start Dates: January   June 2016",Career Employment – Graduating Students & Alumni,"  Systems,   Science   Engineering, Electrical     Engineering, Engineering Physics,   Science   Engineering, Electrical     Engineering, Data Analytics, Mathematics,       Science, Statistics, Mathematical Sciences - MMS, Mathematics - MS & PhD","Education Requirements     positions: - Bachelors degree (Masters degree desired) typically   Management   Systems, Mathematics,     Systems, Business Analytics     technically strong program. -   understanding   Agile (Scrum, SAFe, etc.)"
Analyst/Data Scientist Entry Level,"Company Overview: 84.51 helps companies create sustainable growth   putting   customer     center   everything.     sophisticated suite   tools   technology,   turn data   knowledge           world's leading CPG manufacturers   partners develop, nurture   embrace deeper relationships     customer. University Leadership Program Overview: Development     talent         us.   programs   created   support   develop   candidates     demonstrated       leaders     making.       senior leaders     business today started           University Leadership Programs.     program,     start     5 weeks     intensive jump start training   develop   understanding   84.51s ways   working,         tools   capabilities, knowledge     CPG   Retail industry   technical training     programs       customize   work     clients. Position Overview:   goal         analyses     provide shopper / consumer insights   lead   business actions   results.   analysts share     development   strategy   delivery     work     client.     work       retail partners     understand   business     customer lens   drive     faster decisions.         combination   behavioral     contextual data   build   sustainable insight platform     customer-focused lens   drive strategy, actions plans         clients.     development program,     spend     6-7 weeks learning     business,   role     Analyst,   deep-dive training     technical   commercial skills Analysts leverage     day-to-day basis.   completion     Analyst Development Program,             business role       continue   learning   development   making   impact     business. Locations: Cincinnati,   (USA) Start Dates: January   June 2016",Career Employment – Graduating Students & Alumni,"Finance,   Systems,   Science   Engineering, Electrical     Engineering, Engineering Physics,   Science   Engineering, Electrical     Engineering, Actuarial Science, Data Analytics, Communication, Economics, Mathematics,       Science, Statistics, Mathematical Sciences - MMS, Communication, Economics, Mathematics - MS & PhD","Education, Experience,   Preferred Skills: - Bachelors degree (Masters degree desired)     Science, Artificial Intelligence, Machine Learning, Operations Research, Applied Economics, Applied Statistics, Engineering, Finance, Applied Mathematics, Market Research, Business Analytics,   Systems     heavily quantitative program. Technical Skills: (desired       requirement) - Experience     programming language   statistical software: SQL, SAS, Excel / VBA, R, C/C++, Java     - Statistical models (logistic regression, clustering etc.) - Data analysis   modeling - Data interpretation - Machine learning   data mining - Strong business acumen - Statistical measurement"
Developer Intern,"Company Overview: 84.51 helps companies create sustainable growth   putting   customer     center   everything.     sophisticated suite   tools   technology,   turn data   knowledge           world's leading CPG manufacturers   partners develop, nurture   embrace deeper relationships     customer. Intern Program Overview:       early   start seeking extraordinary talent,         aim         internship program.   program isnt   learning         coffee order,       hands-on work     company   learning     culture. Working closely     manager,     spend 10 weeks     summer completing   project       impact         business. Position Overview: Data Developer:   position involves creating robust   scalable data solutions   underpin   core capabilities.       areas   data   Data Consulting   Data Development. Technical Skills: - Experience   database programming   statistical software     Oracle, SAS, R, Python, Hadoop, Continuous Delivery   Integration, Data Warehouse Development Lifecycle, ETL - Experience translating market   analysis   business solutions   communicating     key stakeholders highly desired. Application Developer:   position involves creating robust   scalable software solutions   underpin   core capabilities.     areas   product development   Design & Engineering   Development & Test. Technical Skills: - Experience     latest software development languages (Java, C, C++, C#, PHP, HTML5, jQuery, Go, SQL, JavaScript, Ruby, etc.) - Experience   concepts   frameworks     Docker, Containers, IaaS, PaaS, iOS, Android, Microservices, SaaS, SpecFlow, Meteor, OOD Locations: Cincinnati,   (USA) Start Date:   2016",Internship,"  Systems,   Science   Engineering, Electrical     Engineering, Engineering Physics,   Science   Engineering, Electrical     Engineering, Data Analytics,       Science, Statistics, Mathematical Sciences - MMS, Mathematics - MS & PhD"," Education Requirements     positions: - Working   Bachelors degree (Masters degree desired) typically   Management   Systems, Mathematics,     Systems, Business Analytics     technically strong program. -   understanding   Agile (Scrum, SAFe, etc.)"
Associate Examiner,"Summer Internships     Time Positions       entry-level examiner     perform developmental assignments   receive on-the-job   formal training designed   provide practical experience   overseeing   examining   financial institution.         FCA,   visit   website   www.fca.gov   select Job Seekers   view   Employment   page.       learn     bank examiners do,   qualifications needed       bank examiner,   training   career development opportunities.",Career Employment – Graduating Students & Alumni,"Accounting, Economics - Business, Finance, Master   Accounting, Master   Business Administration, Agribusiness   Applied Economics, Environment Economy Development   Sustainability, Agricultural Environmental   Developmental Economics, Economics, Economics","        citizen     United States.       completed   June 2016,   four-year     study leading     bachelor's degree   major study   accounting, banking, business administration, commercial   banking law, economics, finance, marketing, agribusiness, agricultural economics     field closely       position.     graduate     GPA       2.95."
Hybrid Trader Trainee,"Belvedere Trading       individuals     interested   gaining broad exposure     financial markets     challenging   comprehensive rotational program.   program   consist   hands-on rotations     Belvedere trading desks   development teams.     trade desk, Hybrids     exposed     fast paced, intense pressure,   high reward     options market making.     development teams,     learn   practices   design, collaborate   create innovative solutions,   implement     sophisticated technologies. Belvedere's hybrid rotational program     perfect place     highly quantitative   competitive individual       build   broad base   skills   succeed   finance   years   come.     are: Belvedere Trading     leading proprietary trading firm   specializes   equity     commodity options.       market makers helping   provide liquidity     marketplace   strategically capitalizing   market inefficiencies.   develop   maintain proprietary, high-performance trading software       traders     execution   analytical tools available.     Hybrid Trader Trainees do:   Hybrid Trader Trainees   assigned   specific tech   trading desks       18-24 months     rotational basis   expected     learn   critical aspects   option pricing     terms   risk       technology works.     rotational period   work     Hybrid Trader Trainees   customize   experience, eventually leading     permanent role     trader, quantitative analyst,     high-powered developer.   specifically,   Hybrid Trader Trainees: Engage   continuous, hands-on training   includes education   option valuation, game theory, hedging, portfolio analysis,   simulated trading games Assist   order execution, position management, desk strategy meetings, trade checking   trade reconciliations Rotate   trading   technology desks   gain   broad perspective     marketplace     technologies Communicate   technology team members   enhance trading software Learn basics   design, implementing   testing enterprise software Develop strong architecture   development skills Lead   participate   special projects   enhance trader facing technologies     offer: Belvedere offers   casual work environment   promotes innovation   creativity.   employees’ health             provide   benefits     robust wellness program including: in-office yoga, health seminars   discounted gym memberships.   additional   traditional benefits     insurance   401k, Belvedere   recognizes   positive effects     strong work-life balance       flexible, paid time   policy     transit benefit program.",Career Employment – Graduating Students & Alumni,"Consumer   Family Financial Services, Accounting, Economics - Business, Finance,   Systems, Economics, Mathematics,       Science","        for:         exceptional Hybrid Trader Trainees         variety   strong quantitative backgrounds     thrive     competitive   challenging work environment. Key qualities   great candidates: Effective communication skills     team-oriented attitude Strong quantitative, analytical,   problem solving skills Demonstrated participation   strategic competitive activities Training   demonstrated ability   learn language     C++, C#,   Python Knowledge     financial markets   trading industry     plus,       prerequisite Graduation     December 2015   May/June 2016 Sponsorship           position   candidates     GPA listed     resumes     recommended   candidates apply           2015-2016 campus roles: Business Analyst, Software Engineer, Trader Trainee   Hybrid Trader Trainee.   apply     role     interests       fits   skill-set."
Software Engineer,"Belvedere Trading       Software Engineers interested   developing innovative, high-performance trading systems.   Software Engineers participate     aspects     software development lifecycle,   design   testing   deployment. Successful candidates       oriented, possess excellent problem solving abilities,   thrive     collaborative, entrepreneurial environment.     Software Engineers do: Software Engineers develop   enhance   proprietary trading software platform     traders     day.   Software Engineers work     collaborative team environment   encourages constant learning   innovation     level   entry-level positions     CTO.   Belvedere,   work     best, learn     best,   create     proprietary software     imagine.   specifically,   Software Engineers: Design, implement,   debug complex trading applications Work   team members   ensure     software meets requirements     testable Coordinate   project managers   team leadership   plan work     are: Belvedere Trading     leading proprietary trading firm   specializes   equity     commodity options.       market makers helping   provide liquidity     marketplace   strategically capitalizing   market inefficiencies.   develop   maintain proprietary, high-performance trading software       traders     execution   analytical tools available.     offer: Belvedere offers   casual work environment   promotes innovation   creativity.   employees’ health             provide   benefits     robust wellness program including: in-office yoga, health seminars   discounted gym memberships.   additional   traditional benefits     insurance   401k, Belvedere   recognizes   positive effects     strong work-life balance       flexible, paid time   policy     transit benefit program.",Career Employment – Graduating Students & Alumni,"Health   Management   Systems,   Systems, Aeronautical   Astronautical Engineering,   Science   Engineering, Civil Engineering, Mechanical Engineering, Geomatics Engineering, Electrical     Engineering, Engineering Physics, Industrial   Systems Engineering, Economics, Mathematics,       Science","Key qualities   great candidates: Undergraduate degree     Science,   Engineering,       field Strong experience     object-oriented programming language     C++, C#,   Java Experience     phases     Software Development Lifecycle     learn! Great written   verbal communication skills Extra credit: Experience   .NET and/or   financial industry Sponsorship           position   candidates     GPA listed     resumes     recommended   candidates apply           2015-2016 campus roles: Business Analyst, Software Engineer, Trader Trainee   Hybrid Trader Trainee.   apply     role     interests       fits   skill-set."
Software Engineer Intern,"Belvedere Trading       Software Engineer Interns interested   developing innovative, high-performance trading systems.   Software Engineer Interns participate     aspects     software development lifecycle,   design   testing   deployment. Successful candidates       oriented, possess excellent problem solving abilities,   thrive     collaborative, entrepreneurial environment.     Software Engineer Interns do: Software Engineer Interns develop   enhance   proprietary trading software platform     traders     day.   work     collaborative team environment   encourages constant learning   innovation     level   entry-level positions     CTO.   Belvedere,   work     best, learn     best,   create     proprietary software     imagine.   specifically,   Software Engineer Interns: Design, implement,   debug complex trading applications Work   team members   ensure     software meets requirements     testable Coordinate   project managers   team leadership   plan work     are: Belvedere Trading     leading proprietary trading firm   specializes   equity     commodity options.       market makers helping   provide liquidity     marketplace   strategically capitalizing   market inefficiencies.   develop   maintain proprietary, high-performance trading software       traders     execution   analytical tools available.     offer: Belvedere offers   casual work environment   promotes innovation   creativity.   employees’ health             provide   benefits     robust wellness program including: in-office yoga, health seminars   discounted gym memberships.   additional   traditional benefits     insurance   401k, Belvedere   recognizes   positive effects     strong work-life balance       flexible, paid time   policy     transit benefit program.",Internship,"Health   Management   Systems, Economics - Business,   Systems, Aeronautical   Astronautical Engineering,   Science   Engineering, Civil Engineering, Mechanical Engineering, Geomatics Engineering, Electrical     Engineering, Engineering Physics, Industrial   Systems Engineering, Economics, Mathematics,       Science","Key qualities   great candidates: Undergraduate degree     Science,   Engineering,       field Strong experience     object-oriented programming language     C++, C#,   Java Experience     phases     Software Development Lifecycle     learn! Great written   verbal communication skills Graduation     December 2016   May/June 2017 Extra credit: Experience   .NET and/or   financial industry Sponsorship           position   candidates     GPA listed     resumes     recommended   candidates apply           2015-2016 campus roles: Business Analyst, Software Engineer, Trader Trainee   Hybrid Trader Trainee.   apply     role     interests       fits   skill-set."
Trader Trainee,"Belvedere Trading       individuals interested   gaining exposure     financial markets     hands-on training   rotational program.   program teaches Trader Trainees     identify   capitalize   derivative arbitrage opportunities   utilizing Belvedere’s proprietary trading   risk management strategies     leveraging   cutting edge,   latency trading technology. Successful candidates   possess strong quantitative   communication skills   thrive     fast-paced   collaborative environment.     are: Belvedere Trading     leading proprietary trading firm   specializes   equity     commodity options.       market makers helping   provide liquidity     marketplace   strategically capitalizing   market inefficiencies.   develop   maintain proprietary, high-performance trading software       traders     execution   analytical tools available.     Trader Trainees do:   Trader Trainees   assigned   specific product desks     work   experienced traders   managing partners.   goal     Trader Trainee program     immerse   hires     environment   conducive     development   critical communication   decision-making skills     grow     successful trader.   specifically,   Trader Trainees: Engage   continuous, hands-on training   includes education   option valuation, game theory, hedging, portfolio analysis,   simulated trading games Assist   order execution, position management, desk strategy meetings, trade checking   trade reconciliations Rotate   product groups   gain   broad perspective     marketplace Communicate   technology team members   enhance trading software     offer: Belvedere offers   casual work environment   promotes innovation   creativity.   employees’ health             provide   benefits     robust wellness program including: in-office yoga, health seminars   discounted gym memberships.   additional   traditional benefits     insurance   401k, Belvedere   recognizes   positive effects     strong work-life balance       flexible, paid time   policy     transit benefit program.",Career Employment – Graduating Students & Alumni,"Consumer   Family Financial Services, Accounting, Economics - Business, Finance, Economics, Mathematics","  we’re   for: We’re     exceptional Trader Trainees         variety   strong quantitative backgrounds     thrive     competitive   challenging work environment. Key qualities   great candidates: Effective communication skills     team-oriented attitude Strong quantitative, analytical,   problem solving skills Demonstrated participation   strategic competitive activities Knowledge     financial markets   trading industry     plus,       prerequisite Graduation     December 2015   May/June 2016 (start     summer 2016) Sponsorship           position   candidates     GPA listed     resumes     recommended   candidates apply           2015-2016 campus roles: Business Analyst, Software Engineer, Trader Trainee   Hybrid Trader Trainee.   apply     role     interests       fits   skill-set."
